1,18,15,23,3
2,7,3,14,1
3,15,4,18,3
4,13,11,25,23
5,4,15,3,22
6,24,11,16,15
7,30,9,23,22
8,4,13,29,10
9,19,12,30,10
10,19,1,28,7
11,30,11,27,7
12,10,14,22,16
13,13,10,8,16
14,19,12,5,24
15,9,13,24,13
16,9,1,21,22
17,11,15,10,8
18,12,8,27,9
19,15,7,15,7
20,9,10,26,6
21,15,10,6,20
22,19,8,5,13
23,9,5,6,6
24,10,2,12,12
25,8,12,23,16
26,11,12,6,7
27,13,7,5,22
28,15,7,27,24
29,25,8,8,2
30,9,14,5,23
31,30,3,13,21
32,16,7,4,19
33,4,7,9,10
34,14,12,5,8
35,4,12,25,3
36,10,5,17,23
37,21,14,7,12
38,6,5,15,19
39,17,1,25,11
40,15,15,2,23
41,12,9,16,17
42,18,4,3,23
43,16,3,26,24
44,27,12,26,19
45,6,14,4,12
46,29,8,29,18
47,7,15,23,2
48,10,8,9,21
49,23,12,29,3
50,14,6,18,19
51,26,13,9,12
52,17,4,4,5
53,29,2,18,22
54,23,4,5,9
55,27,1,11,11
56,23,3,19,22
57,22,6,15,19
58,6,13,12,11
59,17,6,15,21
60,27,13,13,20
61,23,15,28,12
62,15,7,27,21
63,27,6,1,15
64,13,12,2,12
65,15,12,12,24
66,17,8,28,7
67,25,11,7,8
68,5,4,11,21
69,30,15,15,18
70,5,12,7,16
71,18,12,23,7
72,13,2,29,23
73,26,7,9,3
74,3,13,17,25
75,30,11,4,23
76,24,1,27,17
77,5,12,3,2
78,28,4,27,6
79,19,15,20,14
80,23,2,15,5
81,10,7,26,25
82,1,12,28,5
83,19,6,11,18
84,28,12,18,2
85,2,3,27,7
86,3,4,14,11
87,27,13,18,13
88,26,8,24,21
89,4,5,26,2
90,1,13,3,24
91,27,10,1,16
92,21,6,19,17
93,19,7,23,23
94,24,15,9,14
95,18,1,15,7
96,16,7,2,10
97,14,7,21,13
98,6,14,27,9
99,21,11,12,10
100,23,5,25,17
101,6,4,26,25
102,24,11,11,13
103,5,10,30,4
104,24,10,19,19
105,19,14,16,16
106,2,10,17,25
107,13,9,20,21
108,14,15,12,15
109,10,3,1,25
110,14,8,4,18
111,3,6,14,4
112,10,3,15,24
113,28,5,19,2
114,1,11,4,2
115,2,3,11,2
116,19,1,8,3
117,19,2,19,8
118,7,5,17,9
119,17,5,4,7
120,28,9,20,8
121,22,6,15,17
122,20,10,24,4
123,7,9,30,2
124,5,7,16,21
125,20,15,28,13
126,26,10,28,14
127,26,14,18,24
128,30,15,6,1
129,5,2,26,5
130,7,12,29,5
131,11,6,29,11
132,15,6,13,19
133,22,11,14,21
134,16,10,28,9
135,23,8,9,4
136,19,6,6,9
137,20,2,6,15
138,21,15,12,10
139,4,13,22,7
140,12,4,14,19
141,3,9,26,4
142,24,10,2,3
143,5,10,25,5
144,19,14,17,15
145,15,5,12,1
146,9,8,10,15
147,15,11,6,1
148,19,8,2,23
149,22,3,11,7
150,26,4,16,5
151,10,15,3,4
152,11,7,8,5
153,23,14,17,19
154,25,11,17,3
155,20,15,5,16
156,22,14,27,15
157,6,4,28,22
158,21,7,30,21
159,29,8,5,10
160,15,3,3,11
161,17,4,13,19
162,17,1,21,14
163,6,1,2,18
164,29,9,2,12
165,20,2,30,25
166,14,14,22,19
167,23,4,19,20
168,29,3,12,3
169,4,5,28,18
170,8,1,12,16
171,18,5,1,8
172,17,2,29,2
173,11,14,8,6
174,7,1,29,2
175,26,5,3,10
176,10,11,16,9
177,19,3,29,1
178,10,14,7,24
179,29,7,19,22
180,25,4,24,13
181,3,12,21,5
182,3,9,29,14
183,18,4,24,15
184,17,2,22,1
185,6,3,6,14
186,7,13,24,24
187,7,10,13,18
188,16,3,21,22
189,8,8,5,22
190,16,11,24,10
191,19,9,26,23
192,3,1,23,14
193,8,3,10,2
194,26,1,10,19
195,19,12,15,16
196,6,12,6,20
197,7,13,7,14
198,4,2,13,6
199,10,4,3,24
200,25,13,20,3
201,26,11,26,6
202,25,11,18,3
203,7,11,17,11
204,23,13,29,17
205,26,2,29,12
206,2,12,7,2
207,16,2,16,23
208,21,4,29,24
209,25,5,17,25
210,17,8,18,12
211,23,13,10,20
212,3,10,21,5
213,19,3,15,3
214,1,7,20,18
215,5,9,12,14
216,16,4,30,15
217,11,5,3,23
218,19,4,26,7
219,23,6,26,12
220,13,4,6,3
221,28,1,4,8
222,7,6,25,20
223,25,3,5,24
224,7,12,7,11
225,18,11,17,14
226,3,11,7,17
227,3,1,16,9
228,15,15,12,20
229,18,6,15,2
230,4,13,20,16
231,22,6,14,5
232,26,13,5,3
233,26,11,15,14
234,2,14,6,3
235,24,7,12,14
236,1,11,3,6
237,25,4,14,23
238,13,11,30,10
239,16,9,26,22
240,18,11,30,22
241,21,11,8,10
242,23,11,23,23
243,28,4,4,14
244,28,5,5,17
245,26,2,18,19
246,2,1,23,11
247,17,12,2,2
